Country;Year;Series;Value
Barbados;2019;Population mid-year estimates for males (millions);0.1388
Barbados;2019;Population mid-year estimates for females (millions);0.1482
Barbados;2019;Sex ratio (males per 100 females);93.6609
Barbados;2019;Population aged 0 to 14 years old (percentage);17.0504
Barbados;2019;Population aged 60+ years old (percentage);22.5412
Barbados;2019;Population density;667.5000
Belarus;2005;Population mid-year estimates (millions);9.5621
Belarus;2005;Population mid-year estimates for males (millions);4.4640
Belarus;2005;Population mid-year estimates for females (millions);5.0981
Belarus;2005;Sex ratio (males per 100 females);87.5618
Belarus;2005;Population aged 0 to 14 years old (percentage);15.5981
Belarus;2005;Population aged 60+ years old (percentage);18.5400
Belarus;2005;Population density;47.1248
Belarus;2010;Population mid-year estimates (millions);9.4206
Belarus;2010;Population mid-year estimates for males (millions);4.3797
Belarus;2010;Population mid-year estimates for females (millions);5.0408
Belarus;2010;Sex ratio (males per 100 females);86.8849
Belarus;2010;Population aged 0 to 14 years old (percentage);14.8957
Belarus;2010;Population aged 60+ years old (percentage);19.0625
Belarus;2010;Population density;46.4274
Belarus;2017;Population mid-year estimates (millions);9.4502
Belarus;2017;Population mid-year estimates for males (millions);4.3984
Belarus;2017;Population mid-year estimates for females (millions);5.0519
Belarus;2017;Sex ratio (males per 100 females);87.0642
Belarus;2017;Population aged 0 to 14 years old (percentage);16.7079
Belarus;2017;Population aged 60+ years old (percentage);21.3287
Belarus;2017;Population density;46.5735
Belarus;2017;Surface area (thousand km2);207.6000
